category,tag,regex,note
inprogress,assign_incompatible_fnptr,"^assigning to 'TIFFPostMethod'","https://github.com/correctcomputation/checkedc-clang/issues/719"
inprogress,assign_incompatible_fnptr,"^assigning to '_Ptr<int \(TIFFRGBAImage","https://github.com/correctcomputation/checkedc-clang/issues/719"
inprogress,parameter_incompatible_ternary,"^passing 'char \*' to parameter of incompatible type '_Nt_array_ptr<const char>'","https://github.com/correctcomputation/checkedc-clang/issues/729"
inprogress,use_undecl_count,"^use of undeclared identifier 'NONAMEPARAM_2'","https://github.com/correctcomputation/checkedc-clang/issues/726"
inprogress,call_non_function_ternary,"^cannot guarantee operand of cast to checked function pointer type","https://github.com/correctcomputation/checkedc-clang/issues/729"
inprogress,redefinition_array,"^redefinition of 'TIFFFax(.*)Table'","https://github.com/correctcomputation/checkedc-clang/issues/733"

